,Date,Open,High,Low,Close,Volume,Change
0,2008-06-27,35100,40350,35100,40350,319380,
1,2008-06-30,44400,46400,41050,46400,455785,0.14993804213135076
2,2008-07-01,49000,53100,40200,40800,674120,-0.12068965517241381
3,2008-07-02,41200,43500,40000,40800,227726,0.0
4,2008-07-03,40000,42500,36050,40600,142383,-0.004901960784313708
5,2008-07-04,41200,41450,37600,37700,87556,-0.0714285714285714
6,2008-07-07,36800,40150,36500,39500,85023,0.04774535809018565
7,2008-07-08,39500,39500,35000,36950,87119,-0.06455696202531647
8,2008-07-09,37800,39450,36550,38700,98800,0.047361299052774086
9,2008-07-10,37400,41000,37250,40500,85699,0.04651162790697683
10,2008-07-11,41500,42000,39750,42000,82126,0.03703703703703698
11,2008-07-14,42300,42850,41200,41400,45365,-0.014285714285714235
12,2008-07-15,41400,41450,38500,39250,69506,-0.05193236714975846
13,2008-07-16,39450,39950,37500,39350,47442,0.002547770700636942
14,2008-07-17,40700,40850,39100,40450,36674,0.027954256670902122
15,2008-07-18,40450,41100,39700,40000,22680,-0.011124845488257096
16,2008-07-21,40250,40600,39000,40300,20445,0.007500000000000062
17,2008-07-22,40550,40550,38800,39100,19184,-0.02977667493796521
18,2008-07-23,39400,39750,38050,38700,24777,-0.010230179028132946
19,2008-07-24,39000,39300,38050,39050,20178,0.009043927648578753
20,2008-07-25,38500,39150,38050,38100,14382,-0.02432778489116516
21,2008-07-28,38700,38700,37000,38000,26154,-0.002624671916010457
22,2008-07-29,37700,38350,35100,37450,14522,-0.014473684210526305
23,2008-07-30,37500,39800,37450,38800,25740,0.03604806408544725
24,2008-07-31,39150,40900,37500,38600,46628,-0.005154639175257714
25,2008-08-01,39000,39250,37850,38200,12238,-0.010362694300518172
26,2008-08-04,38350,38400,37350,38050,6598,-0.003926701570680646
27,2008-08-05,37700,38450,37350,38450,16807,0.010512483574244502
28,2008-08-06,39000,40600,38300,39500,51661,0.027308192457737412
29,2008-08-07,39400,40550,38800,40200,45701,0.017721518987341867
30,2008-08-08,39800,40100,39300,40100,14129,-0.0024875621890547706
31,2008-08-11,40100,40450,38850,39450,18037,-0.016209476309226978
32,2008-08-12,39450,39450,38250,38800,16283,-0.016476552598225558
33,2008-08-13,38500,38500,37750,37800,12829,-0.02577319587628868
34,2008-08-14,37800,37900,36200,37200,22141,-0.015873015873015928
35,2008-08-18,36800,37200,35600,36500,29132,-0.018817204301075252
36,2008-08-19,35750,36400,34250,34250,25224,-0.06164383561643838
37,2008-08-20,35900,37250,32550,33950,55529,-0.008759124087591275
38,2008-08-21,33850,34300,31350,33100,39724,-0.025036818851251863
39,2008-08-22,32500,32500,30750,31700,27099,-0.04229607250755285
40,2008-08-25,32800,33400,31000,32950,23875,0.039432176656151396
41,2008-08-26,32600,34300,32200,34050,30009,0.03338391502276172
42,2008-08-27,34300,35450,34000,35450,22914,0.04111600587371522
43,2008-08-28,35900,35900,34100,34300,14834,-0.03244005641748937
44,2008-08-29,34500,35150,34000,34900,12854,0.017492711370262315
45,2008-09-01,33900,35000,33000,33000,9029,-0.054441260744985676
46,2008-09-02,32100,33000,30850,32800,16607,-0.0060606060606061
47,2008-09-03,31650,32800,31650,32000,14435,-0.024390243902439046
48,2008-09-04,31500,32000,31100,32000,21763,0.0
49,2008-09-05,31700,31700,30250,31000,16032,-0.03125
50,2008-09-08,31200,32100,31100,32100,12766,0.03548387096774186
51,2008-09-09,32500,32500,31500,32000,15926,-0.0031152647975077885
52,2008-09-10,31800,32300,30500,30550,15707,-0.04531249999999998
53,2008-09-11,30700,31300,29650,30000,16843,-0.018003273322422242
54,2008-09-12,30500,30500,29500,30100,16089,0.0033333333333334103
55,2008-09-16,26400,28400,26400,27000,17861,-0.10299003322259137
56,2008-09-17,27950,28500,27000,27900,30393,0.03333333333333344
57,2008-09-18,26350,27250,26000,26500,16024,-0.05017921146953408
58,2008-09-19,27150,29600,27150,28350,40002,0.06981132075471708
59,2008-09-22,28900,28900,27200,27200,21557,-0.040564373897707284
60,2008-09-23,26600,27100,26000,27000,22825,-0.007352941176470562
61,2008-09-24,26500,27050,25900,26600,26393,-0.014814814814814836
62,2008-09-25,26200,26550,26000,26550,15567,-0.001879699248120259
63,2008-09-26,27000,28250,26550,28000,21403,0.05461393596986808
64,2008-09-29,28850,30200,28750,29950,15015,0.06964285714285712
65,2008-09-30,28500,30200,28500,29700,16504,-0.008347245409014992
66,2008-10-01,31000,31500,29200,31500,24252,0.06060606060606055
67,2008-10-02,31500,31500,30000,30800,14798,-0.022222222222222254
68,2008-10-06,29900,30800,28350,29250,24050,-0.05032467532467533
69,2008-10-07,29100,29550,28100,29250,10087,0.0
70,2008-10-08,28950,28950,27300,28300,14510,-0.032478632478632474
71,2008-10-09,27650,28500,27500,28050,11981,-0.00883392226148405
72,2008-10-10,27400,27400,24500,27000,14892,-0.03743315508021394
73,2008-10-13,26700,27800,26600,27500,9693,0.0185185185185186
74,2008-10-14,28050,29000,27700,28350,12904,0.030909090909090997
75,2008-10-15,27900,28200,27050,27500,17469,-0.029982363315696703
76,2008-10-16,26000,26450,25400,25700,15554,-0.06545454545454543
77,2008-10-17,26000,26800,25100,26000,11335,0.011673151750972721
78,2008-10-20,26600,26600,24250,25700,22985,-0.011538461538461497
79,2008-10-21,26450,26450,25700,25900,9589,0.0077821011673151474
80,2008-10-22,25900,25900,25150,25150,11300,-0.02895752895752901
81,2008-10-23,23550,24600,22500,23200,10357,-0.07753479125248508
82,2008-10-24,21000,22950,19750,21350,19443,-0.07974137931034486
83,2008-10-27,19500,24500,19500,22900,16483,0.07259953161592514
84,2008-10-28,21300,23150,20350,23100,16110,0.008733624454148492
85,2008-10-29,24050,24050,19650,19650,29671,-0.14935064935064934
86,2008-10-30,20200,21700,18700,20500,67764,0.04325699745547085
87,2008-10-31,21100,21150,19400,19600,51863,-0.04390243902439028
88,2008-11-03,18700,21450,18700,21450,37257,0.0943877551020409
89,2008-11-04,21400,21400,20050,21000,31234,-0.020979020979020935
90,2008-11-05,21400,22500,21000,21550,54317,0.026190476190476097
91,2008-11-06,20900,20900,19400,20150,33088,-0.06496519721577731
92,2008-11-07,19100,20900,18900,20650,20865,0.02481389578163773
93,2008-11-10,20650,21400,20200,20700,15444,0.002421307506053294
94,2008-11-11,20600,20600,19900,19950,15132,-0.036231884057971064
95,2008-11-12,19200,19750,18800,19300,28188,-0.03258145363408527
96,2008-11-13,17800,17850,16450,16450,104858,-0.1476683937823834
97,2008-11-14,17100,17200,14350,14700,168478,-0.1063829787234043
98,2008-11-17,14750,16900,14450,16900,151520,0.14965986394557818
99,2008-11-18,17500,18200,16800,16800,149668,-0.00591715976331364
100,2008-11-19,17050,17200,15500,15950,50742,-0.05059523809523814
101,2008-11-20,15400,15400,14200,14650,52036,-0.08150470219435735
102,2008-11-21,15000,16100,14700,16100,54526,0.09897610921501698
103,2008-11-24,16300,18500,15600,17200,98317,0.06832298136645965
104,2008-11-25,18400,19750,18000,19200,144658,0.11627906976744184
105,2008-11-26,19650,19950,18650,19200,72314,0.0
106,2008-11-27,19550,22050,19400,22000,140081,0.14583333333333326
107,2008-11-28,21100,23900,21100,23500,76068,0.06818181818181812
108,2008-12-01,24650,27000,23300,25400,102291,0.08085106382978724
109,2008-12-02,24650,27450,23250,26600,81145,0.04724409448818889
110,2008-12-03,27400,27750,23150,25450,111552,-0.043233082706766957
111,2008-12-04,25550,25600,23350,23350,48037,-0.08251473477406679
112,2008-12-05,23350,26200,23000,25000,68146,0.07066381156316925
113,2008-12-08,26000,26000,24300,25150,52582,0.006000000000000005
114,2008-12-09,26050,27550,25200,25200,78702,0.001988071570576455
115,2008-12-10,26000,26550,25050,25750,52401,0.021825396825396748
116,2008-12-11,26000,26500,25550,26500,45923,0.029126213592232997
117,2008-12-12,26600,26900,24150,24750,41013,-0.06603773584905659
118,2008-12-15,25550,28450,25250,28450,112010,0.14949494949494957
119,2008-12-16,29800,31200,29000,29750,111831,0.04569420035149374
120,2008-12-17,30500,30850,27000,28950,70291,-0.026890756302521024
121,2008-12-18,29600,29900,27700,29100,47009,0.005181347150259086
122,2008-12-19,29800,30550,28050,29650,50206,0.018900343642611617
123,2008-12-22,30250,30250,28550,29500,30927,-0.005059021922428353
124,2008-12-23,29300,29400,26900,27450,52573,-0.06949152542372883
125,2008-12-24,27000,27800,26100,27600,31459,0.005464480874316946
