,Date,Open,High,Low,Close,Volume,Change
0,1998-03-21,1650,1650,1600,1650,38340,
1,1998-03-23,1800,1845,1700,1845,127860,0.11818181818181817
2,1998-03-24,2065,2065,1950,2065,272110,0.1192411924119241
3,1998-03-25,2000,2290,1950,2070,264030,0.002421307506053294
4,1998-03-26,2080,2100,1900,2000,157520,-0.033816425120772986
5,1998-03-27,1810,2080,1810,1960,134330,-0.020000000000000018
6,1998-03-28,1960,2120,1960,2000,72610,0.020408163265306145
7,1998-03-30,1920,1990,1760,1760,103180,-0.12
8,1998-03-31,1760,1860,1760,1780,87090,0.011363636363636465
9,1998-04-01,1780,1970,1780,1880,133220,0.05617977528089879
10,1998-04-02,1900,2105,1800,1900,178860,0.010638297872340496
11,1998-04-03,1850,1930,1675,1675,81630,-0.11842105263157898
12,1998-04-04,1600,1710,1475,1520,69260,-0.09253731343283578
13,1998-04-06,1460,1650,1460,1570,55030,0.03289473684210531
14,1998-04-07,1600,1680,1580,1670,63310,0.06369426751592355
15,1998-04-08,1600,1750,1530,1590,53870,-0.04790419161676651
16,1998-04-09,1590,1640,1540,1570,64490,-0.012578616352201255
17,1998-04-10,1600,1690,1600,1640,56440,0.04458598726114649
18,1998-04-11,1600,1650,1600,1630,22350,-0.0060975609756097615
19,1998-04-13,1630,1630,1570,1600,40940,-0.018404907975460127
20,1998-04-14,1590,1590,1500,1530,50990,-0.043749999999999956
21,1998-04-15,1530,1550,1500,1530,42320,0.0
22,1998-04-16,1500,1500,1450,1470,27110,-0.039215686274509776
23,1998-04-17,1360,1520,1350,1430,33090,-0.027210884353741527
24,1998-04-18,1370,1480,1370,1400,30760,-0.020979020979020935
25,1998-04-20,1530,1530,1300,1350,36210,-0.0357142857142857
26,1998-04-21,1400,1400,1230,1320,42460,-0.022222222222222254
27,1998-04-22,1240,1400,1240,1380,42070,0.045454545454545414
28,1998-04-23,1300,1350,1215,1215,29730,-0.11956521739130432
29,1998-04-24,1215,1295,1190,1190,23830,-0.020576131687242816
30,1998-04-25,1200,1230,1190,1190,10840,0.0
31,1998-04-27,1220,1220,1060,1190,39230,0.0
32,1998-04-28,1190,1210,1100,1110,18880,-0.0672268907563025
33,1998-04-29,1120,1240,1120,1160,25520,0.04504504504504503
34,1998-04-30,1170,1230,1170,1200,21620,0.034482758620689724
35,1998-05-02,1340,1340,1180,1190,21970,-0.008333333333333304
36,1998-05-04,1150,1150,1100,1110,27010,-0.0672268907563025
37,1998-05-06,1020,1100,1020,1050,35000,-0.05405405405405406
38,1998-05-07,1020,1100,1000,1100,29260,0.04761904761904767
39,1998-05-08,1070,1130,1060,1070,25750,-0.027272727272727226
40,1998-05-09,1050,1090,1050,1075,9310,0.004672897196261738
41,1998-05-11,1070,1070,1010,1020,25570,-0.051162790697674376
42,1998-05-12,900,900,900,900,3420,-0.11764705882352944
43,1998-05-13,795,880,795,795,89780,-0.1166666666666667
44,1998-05-14,800,890,710,890,45760,0.11949685534591192
45,1998-05-15,930,940,900,910,31630,0.022471910112359605
46,1998-05-16,910,1010,890,1000,26290,0.098901098901099
47,1998-05-18,1000,1120,1000,1120,21130,0.1200000000000001
48,1998-05-19,1220,1225,1150,1200,40340,0.0714285714285714
49,1998-05-20,1220,1250,1150,1150,59640,-0.04166666666666663
50,1998-05-21,1170,1200,1040,1040,46390,-0.09565217391304348
51,1998-05-22,1040,1070,960,1050,36340,0.009615384615384581
52,1998-05-23,950,1080,950,1075,16420,0.023809523809523725
53,1998-05-25,1000,1050,950,950,22930,-0.11627906976744184
54,1998-05-26,900,980,880,950,18700,0.0
55,1998-05-27,980,980,900,980,12540,0.03157894736842115
56,1998-05-28,920,995,900,970,22540,-0.010204081632653073
57,1998-05-29,970,990,910,980,37580,0.010309278350515427
58,1998-05-30,1010,1050,900,970,14470,-0.010204081632653073
59,1998-06-01,900,990,900,960,15390,-0.010309278350515427
60,1998-06-02,960,960,920,920,21050,-0.04166666666666663
61,1998-06-03,890,970,890,890,38440,-0.03260869565217395
62,1998-06-05,890,920,800,800,43300,-0.101123595505618
63,1998-06-08,840,895,800,805,72610,0.006250000000000089
64,1998-06-09,830,840,800,810,17720,0.006211180124223503
65,1998-06-10,820,840,790,790,28960,-0.024691358024691357
66,1998-06-11,790,825,790,810,27910,0.025316455696202445
67,1998-06-12,810,810,770,770,26710,-0.04938271604938271
68,1998-06-13,715,800,715,720,13270,-0.06493506493506496
69,1998-06-15,740,770,640,770,31320,0.06944444444444442
70,1998-06-16,695,770,680,730,64770,-0.051948051948051965
71,1998-06-17,750,760,700,760,24760,0.041095890410958846
72,1998-06-18,770,850,670,850,45170,0.11842105263157898
73,1998-06-19,940,940,820,820,21220,-0.03529411764705881
74,1998-06-20,800,830,800,810,2070,-0.012195121951219523
75,1998-06-22,800,820,790,790,19190,-0.024691358024691357
76,1998-06-23,750,800,720,780,23930,-0.012658227848101222
77,1998-06-24,780,780,730,780,13810,0.0
78,1998-06-25,750,770,750,770,13960,-0.012820512820512775
79,1998-06-26,735,770,725,770,24010,0.0
80,1998-06-27,725,790,725,785,10660,0.01948051948051943
81,1998-06-29,735,790,735,770,16470,-0.019108280254777066
82,1998-06-30,740,740,710,730,16150,-0.051948051948051965
83,1998-07-01,750,765,735,765,12230,0.047945205479452024
84,1998-07-02,740,755,735,750,12440,-0.019607843137254943
85,1998-07-03,750,750,700,730,20010,-0.026666666666666616
86,1998-07-04,700,730,645,730,6210,0.0
87,1998-07-06,650,720,650,720,7930,-0.013698630136986356
88,1998-07-07,730,730,715,715,7700,-0.00694444444444442
89,1998-07-08,715,715,685,700,8290,-0.020979020979020935
90,1998-07-09,670,780,670,745,22180,0.06428571428571428
91,1998-07-10,755,755,700,730,21460,-0.020134228187919434
92,1998-07-11,740,780,690,730,12310,0.0
93,1998-07-13,760,760,690,715,14650,-0.020547945205479423
94,1998-07-14,680,720,680,715,8020,0.0
95,1998-07-15,690,745,690,715,8160,0.0
96,1998-07-16,715,800,700,760,37170,0.06293706293706292
97,1998-07-18,770,845,770,810,13620,0.06578947368421062
98,1998-07-20,850,880,760,880,39220,0.08641975308641969
99,1998-07-21,850,960,850,860,54930,-0.022727272727272707
100,1998-07-22,870,890,800,805,26090,-0.06395348837209303
101,1998-07-23,880,880,810,810,7630,0.006211180124223503
102,1998-07-24,790,840,730,740,15990,-0.0864197530864198
103,1998-07-25,800,800,750,790,6910,0.06756756756756754
104,1998-07-27,790,830,750,750,22150,-0.05063291139240511
105,1998-07-28,730,790,730,755,6610,0.006666666666666599
106,1998-07-29,735,845,735,845,42810,0.11920529801324498
107,1998-07-30,845,845,800,820,14690,-0.029585798816568087
108,1998-07-31,805,915,800,875,35580,0.06707317073170738
109,1998-08-01,820,860,820,860,10100,-0.017142857142857126
110,1998-08-03,855,950,855,900,42960,0.04651162790697683
111,1998-08-04,950,950,870,910,17760,0.011111111111111072
112,1998-08-05,950,1015,860,970,153530,0.06593406593406592
113,1998-08-06,960,1050,895,1050,128560,0.08247422680412364
114,1998-08-07,1175,1175,1000,1175,168400,0.11904761904761907
115,1998-08-08,1190,1270,1050,1150,80110,-0.021276595744680882
116,1998-08-10,1050,1050,1015,1015,65650,-0.11739130434782608
117,1998-08-11,960,1100,960,1020,52080,0.0049261083743843415
118,1998-08-12,1020,1140,990,1140,47760,0.11764705882352944
119,1998-08-13,1165,1275,1165,1275,225390,0.11842105263157898
120,1998-08-14,1425,1425,1300,1380,353350,0.08235294117647052
121,1998-08-17,1380,1450,1300,1300,145930,-0.05797101449275366
122,1998-08-18,1205,1455,1200,1455,261770,0.11923076923076925
123,1998-08-19,1500,1625,1500,1625,181210,0.11683848797250862
124,1998-08-20,1820,1820,1800,1820,150190,0.1200000000000001
125,1998-08-21,1840,2030,1665,1900,274680,0.04395604395604402
126,1998-08-22,1710,1890,1710,1770,84250,-0.06842105263157894
127,1998-08-24,1780,1980,1780,1980,189290,0.11864406779661008
128,1998-08-25,2215,2215,2100,2215,177630,0.11868686868686873
129,1998-08-26,2300,2400,2050,2050,389520,-0.0744920993227991
130,1998-08-27,2150,2295,2050,2295,254240,0.11951219512195133
131,1998-08-28,2290,2570,2140,2460,407300,0.07189542483660127
132,1998-08-29,2350,2755,2350,2755,269730,0.11991869918699183
133,1998-08-31,3000,3085,2870,3085,239980,0.11978221415607981
134,1998-09-01,3185,3455,3185,3455,90530,0.11993517017828204
135,1998-09-02,3865,3865,3045,3045,524570,-0.11866859623733717
136,1998-09-03,2980,3080,2680,2700,807210,-0.11330049261083741
137,1998-09-04,2850,2850,2430,2510,448530,-0.07037037037037042
138,1998-09-05,2565,2810,2565,2810,475330,0.1195219123505975
139,1998-09-07,2900,3140,2720,2830,667030,0.007117437722419906
140,1998-09-08,2840,2850,2650,2700,261670,-0.04593639575971731
141,1998-09-09,2790,2900,2650,2790,262480,0.03333333333333344
142,1998-09-10,2750,2820,2700,2700,157390,-0.032258064516129004
143,1998-09-11,2700,2830,2500,2600,115090,-0.03703703703703709
144,1998-09-12,2610,2690,2550,2600,87150,0.0
145,1998-09-14,2580,2910,2565,2910,292820,0.11923076923076925
146,1998-09-15,3070,3200,2710,2850,569730,-0.020618556701030966
147,1998-09-16,2900,2980,2730,2790,135990,-0.021052631578947323
148,1998-09-17,2850,2935,2740,2780,232560,-0.0035842293906810374
149,1998-09-18,2780,2800,2600,2750,150610,-0.010791366906474864
150,1998-09-19,2660,2890,2610,2700,123860,-0.018181818181818188
151,1998-09-21,2650,2800,2500,2500,129350,-0.07407407407407407
152,1998-09-22,2450,2550,2200,2200,200880,-0.12
153,1998-09-23,2100,2200,1940,1950,235490,-0.11363636363636365
154,1998-09-24,2020,2180,2020,2180,227690,0.11794871794871797
155,1998-09-25,2350,2440,2200,2350,289510,0.07798165137614688
156,1998-09-26,2450,2450,2250,2330,72620,-0.008510638297872353
157,1998-09-28,2300,2400,2100,2100,93680,-0.09871244635193133
158,1998-09-29,1910,2250,1910,2200,131310,0.04761904761904767
159,1998-09-30,2300,2330,2100,2150,98450,-0.022727272727272707
160,1998-10-01,2240,2295,2140,2160,75920,0.0046511627906977715
161,1998-10-02,2155,2240,2110,2190,61560,0.01388888888888884
162,1998-10-07,2290,2290,2120,2180,73560,-0.004566210045662156
163,1998-10-08,2240,2300,2160,2185,102490,0.002293577981651307
164,1998-10-09,2190,2245,2160,2240,118450,0.02517162471395884
165,1998-10-10,2250,2370,2200,2240,103840,0.0
166,1998-10-12,2390,2505,2390,2505,218810,0.1183035714285714
167,1998-10-13,2700,2700,2460,2510,270220,0.001996007984031989
168,1998-10-14,2450,2510,2320,2400,82180,-0.043824701195219085
169,1998-10-15,2410,2540,2410,2480,123990,0.03333333333333344
170,1998-10-16,2520,2580,2410,2460,137370,-0.008064516129032251
171,1998-10-17,2460,2500,2420,2450,39020,-0.004065040650406471
172,1998-10-19,2500,2510,2400,2510,84190,0.02448979591836742
173,1998-10-20,2560,2800,2530,2620,286980,0.043824701195219085
174,1998-10-21,2650,2650,2530,2570,113210,-0.01908396946564883
175,1998-10-22,2605,2610,2500,2590,80080,0.0077821011673151474
176,1998-10-23,2430,2700,2430,2450,116360,-0.05405405405405406
177,1998-10-24,2600,2600,2460,2460,38330,0.004081632653061273
178,1998-10-26,2425,2700,2400,2550,159650,0.03658536585365857
179,1998-10-27,2580,2650,2400,2430,69490,-0.04705882352941182
180,1998-10-28,2350,2450,2350,2380,79240,-0.020576131687242816
181,1998-10-29,2350,2480,2300,2300,48690,-0.03361344537815125
182,1998-10-30,2315,2470,2315,2370,70350,0.0304347826086957
183,1998-10-31,2370,2495,2370,2400,24750,0.012658227848101333
184,1998-11-02,2400,2495,2400,2460,83830,0.02499999999999991
185,1998-11-03,2485,2490,2400,2450,84340,-0.004065040650406471
186,1998-11-04,2490,2680,2470,2510,265530,0.02448979591836742
187,1998-11-05,2560,2715,2530,2620,198240,0.043824701195219085
188,1998-11-06,2800,2910,2660,2660,306200,0.01526717557251911
189,1998-11-07,2550,2630,2550,2560,66060,-0.03759398496240607
190,1998-11-09,2600,2640,2480,2600,154100,0.015625
191,1998-11-10,2670,2740,2550,2600,168860,0.0
192,1998-11-11,2610,2750,2600,2675,174470,0.028846153846153744
193,1998-11-12,2725,2995,2725,2995,206090,0.11962616822429917
194,1998-11-13,3150,3250,2770,2790,634210,-0.06844741235392315
195,1998-11-14,2880,2970,2750,2970,133700,0.06451612903225801
196,1998-11-16,3000,3150,2880,3060,249740,0.030303030303030276
197,1998-11-17,3100,3190,2900,2960,165630,-0.0326797385620915
198,1998-11-18,2960,3100,2850,2920,124930,-0.013513513513513487
199,1998-11-19,2930,3050,2925,2925,111350,0.001712328767123239
200,1998-11-20,3000,3000,2850,2900,109470,-0.008547008547008517
201,1998-11-21,2850,2940,2850,2900,44080,0.0
202,1998-11-23,2880,2990,2880,2960,119630,0.020689655172413834
203,1998-11-24,3000,3150,2960,3135,293070,0.05912162162162171
204,1998-11-25,3510,3510,3460,3510,440400,0.11961722488038284
205,1998-11-26,3680,3930,3600,3850,597470,0.09686609686609682
206,1998-11-27,3800,3800,3390,3550,228490,-0.07792207792207795
207,1998-11-28,3650,3670,3510,3560,110250,0.0028169014084507005
208,1998-11-30,3500,3900,3500,3600,222620,0.011235955056179803
209,1998-12-01,3500,3740,3410,3450,97530,-0.04166666666666663
210,1998-12-02,3400,3860,3400,3600,259760,0.04347826086956519
211,1998-12-03,3800,3800,3500,3530,144770,-0.019444444444444486
212,1998-12-04,3530,3550,3430,3470,116510,-0.016997167138810165
213,1998-12-05,3470,3650,3450,3600,109520,0.03746397694524495
214,1998-12-07,3700,4100,3600,3895,307930,0.08194444444444438
215,1998-12-08,3895,4200,3700,4100,391050,0.05263157894736836
216,1998-12-09,4150,4590,4050,4300,466450,0.04878048780487809
217,1998-12-10,4300,4500,4300,4300,254760,0.0
218,1998-12-11,4400,4670,4310,4590,301090,0.06744186046511635
219,1998-12-14,4500,5270,4500,5270,347570,0.14814814814814814
220,1998-12-15,5700,6060,5400,6060,243730,0.14990512333965844
221,1998-12-16,6350,6800,5160,5160,210420,-0.14851485148514854
222,1998-12-17,4390,4990,4390,4390,172270,-0.14922480620155043
223,1998-12-18,4440,4700,4410,4450,146910,0.013667425968109326
224,1998-12-21,4800,5050,4600,5050,100990,0.1348314606741574
225,1998-12-22,4570,5000,4500,4700,90710,-0.06930693069306926
226,1998-12-23,4900,4900,4300,4480,119180,-0.04680851063829783
