,Date,Open,High,Low,Close,Volume,Change
0,2019-10-18,3136,4076,3136,4076,13544,
1,2019-10-21,5296,5296,5296,5296,11993,0.29931305201177616
2,2019-10-22,6883,6883,6883,6884,4741,0.2998489425981874
3,2019-10-23,8946,8946,8946,8946,4204,0.299535153980244
4,2019-10-24,11521,11618,11328,11618,651378,0.2986809747373127
5,2019-10-25,13022,13216,8849,9179,2900135,-0.20993286279910484
6,2019-10-28,9294,9294,7503,7794,1152475,-0.15088789628499832
7,2019-10-29,7513,8026,7348,7591,583011,-0.02604567616114961
8,2019-10-30,8249,9062,6913,8172,2466680,0.07653800553286794
9,2019-10-31,7852,8568,7397,7978,527633,-0.023739598629466507
10,2019-11-01,8123,8462,7552,7697,495032,-0.03522186011531714
11,2019-11-04,7726,7803,7358,7513,166686,-0.023905417695205933
12,2019-11-05,7513,7513,6874,7058,163520,-0.06056169306535342
13,2019-11-06,7019,7619,6932,7262,197726,0.028903372060073762
14,2019-11-07,7251,7251,6980,7174,67576,-0.012117873863949358
15,2019-11-08,7174,7435,7126,7262,87343,0.012266517981600167
16,2019-11-11,7309,8181,7309,7688,333605,0.05866152575048189
17,2019-11-12,7619,7648,7309,7368,115803,-0.04162330905306977
18,2019-11-13,7368,7503,7261,7426,62481,0.007871878393050924
19,2019-11-14,7406,7881,7406,7533,147394,0.014408833827094014
20,2019-11-15,7706,8094,7581,7726,270098,0.025620602681534654
21,2019-11-18,7794,7929,7648,7707,56052,-0.002459228578824746
22,2019-11-19,7697,7832,7445,7610,95273,-0.012585960814843644
23,2019-11-20,7610,7726,7319,7446,44608,-0.021550591327201052
24,2019-11-21,7358,7493,7116,7378,36147,-0.0091324200913242
25,2019-11-22,7339,7339,7067,7174,20698,-0.027649769585253448
26,2019-11-25,7348,7348,6971,7029,30699,-0.020211876219682234
27,2019-11-26,6961,7038,6913,7000,24863,-0.0041257646891449395
28,2019-11-27,7000,7048,6825,6971,42770,-0.004142857142857115
29,2019-11-28,6883,6971,6825,6874,15678,-0.01391478984363792
