,Date,Open,High,Low,Close,Volume,Change
0,2016-07-15,22250,22700,17150,17150,4205714,
1,2016-07-18,17300,17500,16400,16550,643995,-0.03498542274052474
2,2016-07-19,16750,16850,15950,16100,434464,-0.027190332326283984
3,2016-07-20,16200,16600,15950,16200,314418,0.006211180124223503
4,2016-07-21,16400,17350,16350,16750,430308,0.033950617283950546
5,2016-07-22,16850,16900,16350,16550,144973,-0.011940298507462699
6,2016-07-25,16550,16600,16000,16000,180469,-0.033232628398791486
7,2016-07-26,16100,16350,15650,15700,148503,-0.018750000000000044
8,2016-07-27,15800,15850,15100,15300,203330,-0.02547770700636942
9,2016-07-28,15300,15700,15200,15250,101809,-0.0032679738562091387
10,2016-07-29,15300,15300,15000,15200,106803,-0.003278688524590123
11,2016-08-01,15200,15400,14950,15250,67093,0.00328947368421062
12,2016-08-02,15200,15300,14550,14550,129836,-0.04590163934426228
13,2016-08-03,14450,14650,13950,14000,157797,-0.037800687285223344
14,2016-08-04,14050,14300,13950,14050,86141,0.0035714285714285587
15,2016-08-05,14300,14300,13600,13600,126865,-0.03202846975088969
16,2016-08-08,13750,13800,13000,13100,174309,-0.03676470588235292
17,2016-08-09,13200,13550,13050,13300,68078,0.01526717557251911
18,2016-08-10,13250,13500,13150,13250,59359,-0.003759398496240629
19,2016-08-11,13300,15450,13250,14100,996997,0.0641509433962264
20,2016-08-12,13900,14500,13900,13950,164207,-0.010638297872340385
21,2016-08-16,14050,14750,14000,14100,184585,0.010752688172043001
22,2016-08-17,12800,13000,12200,12650,363585,-0.1028368794326241
23,2016-08-18,12550,12650,11900,11900,208213,-0.059288537549407105
24,2016-08-19,12050,12200,11800,11800,94731,-0.008403361344537785
25,2016-08-22,11950,12100,11800,12000,62809,0.016949152542372836
26,2016-08-23,12200,12250,11850,12050,84022,0.004166666666666652
27,2016-08-24,12250,12250,11850,11900,68886,-0.012448132780082943
28,2016-08-25,12000,12150,11900,11900,89928,0.0
29,2016-08-26,12000,12850,12000,12150,363878,0.021008403361344463
30,2016-08-29,12250,12600,11950,12050,133644,-0.008230452674897082
31,2016-08-30,12100,12200,11550,11700,135498,-0.02904564315352698
32,2016-08-31,11800,11900,11000,11150,131408,-0.047008547008547064
33,2016-09-01,11250,11500,11050,11350,87251,0.017937219730941756
34,2016-09-02,11450,11800,11300,11800,64867,0.0396475770925111
35,2016-09-05,12000,12000,11600,11850,38683,0.004237288135593209
36,2016-09-06,11850,11850,11500,11700,62929,-0.012658227848101222
37,2016-09-07,11700,11850,11500,11550,31372,-0.012820512820512775
38,2016-09-08,11500,11800,11200,11250,61558,-0.025974025974025983
39,2016-09-09,11250,11300,10900,10900,71571,-0.03111111111111109
40,2016-09-12,10600,10700,10450,10650,80300,-0.022935779816513735
41,2016-09-13,10750,11350,10700,10950,88949,0.028169014084507005
42,2016-09-19,10950,11200,10850,11050,34373,0.009132420091324311
43,2016-09-20,11100,11200,10800,11150,39447,0.009049773755656076
44,2016-09-21,11150,11400,11050,11100,50951,-0.004484304932735439
45,2016-09-22,11200,11800,11150,11450,82715,0.03153153153153143
46,2016-09-23,11500,12000,11300,11800,97981,0.03056768558951961
47,2016-09-26,11800,12000,11500,11800,72536,0.0
48,2016-09-27,11800,11900,11550,11600,58745,-0.016949152542372836
49,2016-09-28,11600,12750,11400,11700,341620,0.008620689655172376
50,2016-09-29,11750,11900,11550,11600,89582,-0.008547008547008517
51,2016-09-30,11650,11800,11250,11300,94660,-0.025862068965517238
52,2016-10-04,11300,11450,11150,11250,45441,-0.004424778761061954
53,2016-10-05,11300,11700,11250,11500,77102,0.022222222222222143
54,2016-10-06,11450,12100,11450,12000,200010,0.04347826086956519
55,2016-10-07,11800,12200,11650,12200,199012,0.016666666666666607
56,2016-10-10,12200,12200,11750,11750,88695,-0.03688524590163933
57,2016-10-11,11650,11800,11400,11400,123765,-0.029787234042553234
58,2016-10-12,11350,11550,11250,11350,43451,-0.004385964912280715
59,2016-10-13,11400,11500,10750,10900,98183,-0.03964757709251099
