,Date,Open,High,Low,Close,Volume,Change
0,2016-11-09,39950,40450,31550,36800,1625088,
1,2016-11-10,37350,40300,37000,39100,567440,0.0625
2,2016-11-11,40150,41300,38750,39950,332695,0.021739130434782705
3,2016-11-14,40150,41150,38700,40950,214893,0.0250312891113893
4,2016-11-15,41000,41100,39850,40550,118323,-0.009768009768009733
5,2016-11-16,40600,40600,39300,39400,86171,-0.0283600493218249
6,2016-11-17,39400,39550,38000,38100,119749,-0.032994923857868064
7,2016-11-18,38000,38350,35650,36200,147646,-0.04986876640419946
8,2016-11-21,36000,36200,33350,34150,134112,-0.056629834254143696
9,2016-11-22,34850,35500,34000,34450,85396,0.008784773060029227
10,2016-11-23,34450,34850,32400,34000,55966,-0.013062409288824406
11,2016-11-24,33900,33900,30700,31550,254323,-0.07205882352941173
12,2016-11-25,31250,33500,30400,31450,164384,-0.0031695721077654726
13,2016-11-28,31850,32000,30600,30600,52486,-0.027027027027026973
14,2016-11-29,30600,31600,30100,31050,85337,0.014705882352941124
15,2016-11-30,31050,32500,31050,32000,99021,0.03059581320450877
16,2016-12-01,31550,32050,31300,31550,12634,-0.014062499999999978
17,2016-12-02,31600,31800,30600,30600,23048,-0.030110935023771823
18,2016-12-05,30150,30700,29450,30300,76928,-0.009803921568627416
19,2016-12-06,30700,30800,30000,30300,24224,0.0
20,2016-12-07,30400,33350,30200,30350,66783,0.0016501650165017256
21,2016-12-08,30350,31300,30150,30400,94258,0.0016474464579900872
22,2016-12-09,30650,32300,30200,31550,212420,0.03782894736842102
23,2016-12-12,31750,32200,31400,31600,61995,0.0015847860538826808
24,2016-12-13,31900,33150,31600,32750,110387,0.03639240506329111
25,2016-12-14,33200,33900,32650,33300,71223,0.016793893129771087
26,2016-12-15,32950,33350,32550,32700,102460,-0.018018018018018056
27,2016-12-16,33850,34300,32900,33300,80655,0.0183486238532109
28,2016-12-19,33500,33550,32600,32700,28947,-0.018018018018018056
29,2016-12-20,32750,33100,31650,31650,59951,-0.032110091743119296
30,2016-12-21,31450,31650,30650,30650,62797,-0.03159557661927326
31,2016-12-22,30650,31050,30150,30400,46371,-0.00815660685154973
32,2016-12-23,30650,31350,30250,30950,35184,0.018092105263157965
33,2016-12-26,31050,31300,30600,30850,27148,-0.003231017770597755
34,2016-12-27,31000,31650,30800,31600,104798,0.024311183144246407
35,2016-12-28,31200,31600,30400,31200,45096,-0.012658227848101222
36,2016-12-29,30900,31250,30200,30600,37573,-0.019230769230769273
37,2017-01-02,30650,30750,29700,30100,65023,-0.016339869281045805
38,2017-01-03,30100,31000,29200,30850,91544,0.024916943521594792
39,2017-01-04,31000,31000,29950,30050,44136,-0.02593192868719607
40,2017-01-05,30100,30200,29800,29800,34160,-0.008319467554076532
41,2017-01-06,29800,30150,29600,29900,49969,0.003355704697986628
42,2017-01-09,30000,30050,28200,28200,78536,-0.05685618729096986
43,2017-01-10,28500,28900,27600,28000,52967,-0.007092198581560294
44,2017-01-11,27800,28700,26500,28650,81955,0.023214285714285632
45,2017-01-12,28650,28900,28050,28450,31607,-0.006980802792321161
46,2017-01-13,28800,29550,28600,29050,27895,0.02108963093145877
47,2017-01-16,29100,29750,29100,29400,24578,0.012048192771084265
48,2017-01-17,29700,30700,29650,30450,60944,0.03571428571428581
49,2017-01-18,30550,37700,30550,32350,260639,0.06239737274220025
50,2017-01-19,32200,33250,31350,32150,73798,-0.0061823802163832875
51,2017-01-20,32150,33800,31900,33100,45613,0.029548989113530322
52,2017-01-23,33200,34800,33200,34200,132637,0.0332326283987916
53,2017-01-24,34000,34650,33700,34500,47096,0.00877192982456143
54,2017-01-25,34000,34750,33000,33400,41364,-0.03188405797101446
55,2017-01-26,33300,33750,32000,33750,58448,0.010479041916167775
56,2017-01-31,33600,33800,33200,33500,11971,-0.007407407407407418
57,2017-02-01,33150,33800,33050,33800,26827,0.008955223880596996
58,2017-02-02,33500,34000,32900,33100,17523,-0.020710059171597628
59,2017-02-03,32850,33500,32000,32650,43046,-0.013595166163142047
60,2017-02-06,32500,33000,31900,32950,28736,0.009188361408882129
61,2017-02-07,32950,33800,32500,33450,15237,0.015174506828528056
62,2017-02-08,33750,33750,32250,32800,18103,-0.019431988041853532
63,2017-02-09,32800,32900,32300,32600,21291,-0.0060975609756097615
64,2017-02-10,32500,32900,32250,32550,13122,-0.0015337423312883347
65,2017-02-13,32650,33100,32100,32550,13544,0.0
66,2017-02-14,32650,32950,31700,32500,36332,-0.001536098310291889
67,2017-02-15,32450,33600,32150,33450,51267,0.02923076923076917
68,2017-02-16,33550,34550,32800,34300,46254,0.025411061285500747
69,2017-02-17,34500,36250,34400,35400,84361,0.03206997084548102
70,2017-02-20,35400,37350,35400,37150,80827,0.04943502824858759
71,2017-02-21,37150,40300,37000,39500,155538,0.06325706594885605
72,2017-02-22,39000,40000,38300,38550,80488,-0.024050632911392422
73,2017-02-23,38550,40700,38100,40300,110498,0.045395590142671916
74,2017-02-24,40200,41250,38800,40500,100463,0.00496277915632759
75,2017-02-27,40500,41100,39950,41000,64380,0.012345679012345734
76,2017-02-28,40900,40900,39600,40400,30864,-0.014634146341463428
77,2017-03-02,40400,40400,38500,39600,94475,-0.01980198019801982
78,2017-03-03,39550,39550,37150,38000,107187,-0.04040404040404044
79,2017-03-06,37550,38500,37000,38300,37660,0.007894736842105177
80,2017-03-07,37950,38550,37100,38300,30666,0.0
81,2017-03-08,38500,39100,38250,39000,10654,0.018276762402088753
82,2017-03-09,39000,40650,39000,40400,52342,0.03589743589743599
83,2017-03-10,40400,40550,39150,39550,43982,-0.02103960396039606
84,2017-03-13,39550,40200,39100,40050,38287,0.012642225031605614
85,2017-03-14,40500,40950,38750,39800,42274,-0.006242197253433224
86,2017-03-15,40000,40250,38200,39000,51161,-0.02010050251256279
87,2017-03-16,39800,40050,38700,39450,33191,0.011538461538461497
88,2017-03-17,39950,41000,39750,40450,43752,0.025348542458808687
89,2017-03-20,40450,41050,40100,41050,39701,0.014833127317676054
90,2017-03-21,41300,41350,40000,40700,41467,-0.008526187576126665
91,2017-03-22,40450,41250,39800,41000,28456,0.0073710073710073765
92,2017-03-23,41100,41150,40450,40500,47381,-0.012195121951219523
93,2017-03-24,40500,40850,40050,40200,21353,-0.007407407407407418
94,2017-03-27,40200,40950,39450,40600,12015,0.00995024875621886
95,2017-03-28,40350,41050,40200,41000,29469,0.009852216748768461
96,2017-03-29,40850,41000,40100,40100,17362,-0.02195121951219514
97,2017-03-30,40000,41100,39800,40750,23123,0.016209476309226867
98,2017-03-31,41000,41050,40550,41000,10157,0.006134969325153339
99,2017-04-03,41000,41200,40900,41150,16572,0.003658536585365857
100,2017-04-04,41100,42850,41000,42250,80838,0.026731470230862753
101,2017-04-05,42800,43050,41650,42800,63704,0.013017751479289963
102,2017-04-06,43250,43250,41900,41900,31041,-0.0210280373831776
103,2017-04-07,41500,42050,40600,41050,33757,-0.02028639618138428
104,2017-04-10,41000,41000,40000,40000,23913,-0.025578562728379994
105,2017-04-11,40000,40500,39600,39950,40003,-0.0012499999999999734
106,2017-04-12,40100,40500,39800,40000,24157,0.0012515644555695093
107,2017-04-13,40100,40750,40050,40650,30956,0.016250000000000098
108,2017-04-14,40000,40750,40000,40000,5232,-0.01599015990159902
109,2017-04-17,41000,42000,39900,40050,73242,0.0012499999999999734
110,2017-04-18,40000,41150,39950,40500,31479,0.011235955056179803
111,2017-04-19,40950,41850,40550,41850,29409,0.03333333333333344
112,2017-04-20,41850,42100,40900,41200,33738,-0.015531660692950977
113,2017-04-21,41200,41800,40700,41500,21977,0.00728155339805836
114,2017-04-24,41900,41900,41000,41350,18445,-0.0036144578313253017
115,2017-04-25,41400,41800,40800,40850,12752,-0.01209189842805325
116,2017-04-26,41100,41100,38100,39800,34380,-0.025703794369645094
117,2017-04-27,39800,40200,39350,39350,21831,-0.011306532663316604
118,2017-04-28,39750,40200,39150,40200,25251,0.021601016518424387
119,2017-05-02,40100,40100,39400,39600,10616,-0.014925373134328401
120,2017-05-04,40000,40500,39400,40500,24112,0.022727272727272707
121,2017-05-08,41000,41100,40200,41050,27210,0.013580246913580174
122,2017-05-10,41750,41750,39850,40000,49271,-0.025578562728379994
123,2017-05-11,40250,43900,39900,43000,84901,0.07499999999999996
124,2017-05-12,43000,43250,42300,43000,117984,0.0
125,2017-05-15,42800,42950,42050,42850,52629,-0.0034883720930232176
126,2017-05-16,42000,42850,41900,42350,52706,-0.011668611435239229
