,Date,Open,High,Low,Close,Volume,Change
0,2021-01-25,53314,53314,41049,43903,1321544,
1,2021-01-26,44203,44653,40548,40549,418885,-0.07639569049951034
2,2021-01-27,41199,41850,38446,38897,189353,-0.040740832079706024
3,2021-01-28,37345,40148,36844,37996,177923,-0.023163740134200528
4,2021-01-29,38246,39547,35042,36194,159569,-0.047426044846826
5,2021-02-01,35793,38096,35743,37996,109048,0.04978725755650104
6,2021-02-02,38196,39547,38146,38496,122670,0.013159279924202627
7,2021-02-03,38997,39547,38296,39097,117200,0.015612011637572643
8,2021-02-04,39748,40148,38546,38947,111897,-0.003836611504719034
9,2021-02-05,38396,38896,37845,38346,36666,-0.015431227052147833
10,2021-02-08,38746,38796,38045,38647,28933,0.007849580138736822
11,2021-02-09,38646,38947,37845,37846,25473,-0.020726058943773107
12,2021-02-10,38045,38045,35793,37395,42878,-0.011916715108598042
13,2021-02-15,37395,37395,36744,36895,28390,-0.013370771493515177
14,2021-02-16,37244,37395,36744,36895,23462,0.0
15,2021-02-17,37194,37194,36444,36644,20148,-0.0068030898495731185
16,2021-02-18,36293,37044,36243,36494,36494,-0.004093439580831748
17,2021-02-19,36494,36594,35943,36594,24117,0.0027401764673644635
18,2021-02-22,36994,37144,36043,36394,21288,-0.00546537683773296
19,2021-02-23,36043,36343,35943,35993,18540,-0.011018299719734004
20,2021-02-24,36343,36343,34792,34942,44149,-0.02920012224599222
21,2021-02-25,35843,38196,35042,37595,85626,0.07592581993017
22,2021-02-26,35693,36093,34691,35443,119486,-0.05724165447532914
23,2021-03-02,36494,36544,34391,34692,102160,-0.021188951273876322
24,2021-03-03,34892,35542,34141,34692,56514,0.0
25,2021-03-04,34591,35492,34341,34442,52091,-0.007206272339444264
26,2021-03-05,34191,34541,33840,34141,28412,-0.008739329887927583
27,2021-03-08,34541,34792,33940,34191,29113,0.0014645148062446545
28,2021-03-09,34391,34942,33940,34742,24514,0.016115351993214677
29,2021-03-10,35292,35292,34291,34692,16644,-0.0014391802429336575
30,2021-03-11,34541,35042,34541,34892,19654,0.005765017871555367
31,2021-03-12,35142,35492,34842,35443,25641,0.015791585463716507
32,2021-03-15,35643,37144,35643,36945,71969,0.042377902547752644
33,2021-03-16,37094,37745,36844,36945,41945,0.0
34,2021-03-17,36944,37194,36293,36995,19460,0.0013533631073217034
35,2021-03-18,37044,37445,36594,36794,20761,-0.005433166644141063
36,2021-03-19,35993,38146,35893,36895,17788,0.0027450127738217756
37,2021-03-22,36944,37395,36393,36895,18280,0.0
