,Date,Open,High,Low,Close,Volume,Change
0,2018-10-31,1958,1963,1948,1959,697681,
1,2018-11-01,1953,1958,1948,1954,164007,-0.002552322613578406
2,2018-11-02,1953,1963,1953,1954,173780,0.0
3,2018-11-05,1963,1963,1953,1963,81204,0.004605936540429845
4,2018-11-06,1963,1963,1953,1963,81305,0.0
5,2018-11-07,1958,1958,1953,1959,10428,-0.002037697401935823
6,2018-11-08,1963,1963,1953,1963,27856,0.0020418580908627693
7,2018-11-09,1963,1968,1958,1959,37417,-0.002037697401935823
8,2018-11-12,1958,1963,1953,1959,12721,0.0
9,2018-11-13,1953,1973,1953,1963,70884,0.0020418580908627693
10,2018-11-14,1963,1968,1963,1968,1617,0.0025471217524197787
11,2018-11-15,1963,1968,1953,1968,31840,0.0
12,2018-11-16,1968,1973,1968,1968,14259,0.0
13,2018-11-19,1963,1968,1963,1968,525,0.0
14,2018-11-20,1968,1968,1963,1968,56149,0.0
15,2018-11-21,1973,1973,1968,1968,83851,0.0
16,2018-11-22,1978,1978,1968,1973,8132,0.0025406504065039748
17,2018-11-23,1973,1978,1968,1973,17095,0.0
18,2018-11-26,1973,1973,1968,1973,443,0.0
19,2018-11-27,1978,1978,1968,1973,9526,0.0
20,2018-11-28,1968,1973,1968,1973,7803,0.0
21,2018-11-29,1963,1973,1963,1973,9103,0.0
22,2018-11-30,1973,1973,1968,1968,18012,-0.0025342118601114905
23,2018-12-03,1973,1973,1963,1973,4082,0.0025406504065039748
24,2018-12-04,1958,1973,1958,1973,20931,0.0
25,2018-12-05,1963,1973,1963,1973,701,0.0
26,2018-12-06,1973,1973,1963,1968,502,-0.0025342118601114905
27,2018-12-07,1968,1973,1953,1973,72946,0.0025406504065039748
28,2018-12-10,1973,1978,1968,1973,13032,0.0
29,2018-12-11,1982,1982,1963,1978,28003,0.0025342118601114905
30,2018-12-12,1978,1978,1973,1978,3902,0.0
31,2018-12-13,1963,1978,1958,1978,16389,0.0
32,2018-12-14,1963,1978,1963,1978,9,0.0
33,2018-12-17,1968,1978,1968,1968,1030,-0.005055611729019249
34,2018-12-18,1968,1968,1968,1968,0,0.0
35,2018-12-19,1958,1973,1958,1968,310,0.0
36,2018-12-20,1963,1963,1963,1963,150,-0.002540650406504086
37,2018-12-21,1953,1963,1953,1963,477,0.0
38,2018-12-24,1953,1973,1953,1973,2114,0.005094243504839557
39,2018-12-26,1953,1973,1953,1973,1380,0.0
40,2018-12-27,1958,1973,1958,1959,11051,-0.007095793208312218
41,2018-12-28,1948,1973,1948,1973,24934,0.007146503318019359
42,2019-01-02,1953,1953,1948,1954,126387,-0.009630005068423708
43,2019-01-03,1963,1968,1963,1968,400,0.007164790174001956
44,2019-01-04,1963,1963,1958,1959,1013,-0.004573170731707266
45,2019-01-07,1953,1958,1953,1959,24001,0.0
46,2019-01-08,1958,1963,1958,1959,4336,0.0
47,2019-01-09,1968,1968,1963,1963,2001,0.0020418580908627693
48,2019-01-10,1968,1968,1963,1968,15688,0.0025471217524197787
49,2019-01-11,1958,1968,1958,1959,1911,-0.004573170731707266
50,2019-01-14,1968,1968,1963,1963,2269,0.0020418580908627693
51,2019-01-15,1973,1973,1973,1973,2,0.005094243504839557
52,2019-01-16,1973,1973,1973,1973,2000,0.0
53,2019-01-17,1968,1968,1958,1968,455,-0.0025342118601114905
54,2019-01-18,1968,1973,1963,1968,40353,0.0
55,2019-01-21,1968,1968,1968,1968,0,0.0
56,2019-01-22,1968,1968,1968,1968,0,0.0
57,2019-01-23,1968,1968,1958,1968,2503,0.0
58,2019-01-24,1973,1973,1968,1968,2,0.0
59,2019-01-25,1953,1968,1953,1968,28830,0.0
60,2019-01-28,1968,1968,1968,1968,4,0.0
61,2019-01-29,1968,1968,1968,1968,5206,0.0
62,2019-01-30,1968,1968,1968,1968,5,0.0
63,2019-01-31,1968,1968,1968,1968,2,0.0
64,2019-02-01,1963,1968,1963,1968,5113,0.0
65,2019-02-07,1968,1968,1963,1968,2902,0.0
66,2019-02-08,1968,1968,1968,1968,5,0.0
67,2019-02-11,1968,1968,1968,1968,1,0.0
68,2019-02-12,1968,1973,1963,1973,2159,0.0025406504065039748
69,2019-02-13,1973,1973,1968,1968,365,-0.0025342118601114905
70,2019-02-14,1968,1968,1968,1968,2001,0.0
71,2019-02-15,1973,1973,1968,1968,2537,0.0
72,2019-02-18,1973,1973,1963,1968,503,0.0
73,2019-02-19,1973,1973,1973,1973,1,0.0025406504065039748
74,2019-02-20,1973,1973,1963,1968,9,-0.0025342118601114905
75,2019-02-21,1968,1973,1963,1963,442,-0.002540650406504086
76,2019-02-22,1973,1973,1968,1968,1004,0.0025471217524197787
77,2019-02-25,1973,1973,1973,1973,1,0.0025406504065039748
78,2019-02-26,1968,1968,1963,1968,1017,-0.0025342118601114905
79,2019-02-27,1973,1973,1963,1968,1413,0.0
80,2019-02-28,1973,1973,1963,1973,214,0.0025406504065039748
81,2019-03-04,1973,1973,1958,1959,411,-0.007095793208312218
82,2019-03-05,1973,1973,1958,1963,646,0.0020418580908627693
83,2019-03-06,1973,1973,1958,1968,204,0.0025471217524197787
84,2019-03-07,1973,1973,1958,1968,2228,0.0
85,2019-03-08,1973,1973,1973,1973,1,0.0025406504065039748
86,2019-03-11,1973,1973,1968,1973,2108,0.0
87,2019-03-12,1973,1973,1968,1968,4288,-0.0025342118601114905
88,2019-03-13,1973,1973,1958,1968,16651,0.0
89,2019-03-14,1973,1973,1973,1973,2,0.0025406504065039748
90,2019-03-15,1973,1973,1968,1968,5929,-0.0025342118601114905
91,2019-03-18,1973,1973,1968,1973,404,0.0025406504065039748
92,2019-03-19,1973,1973,1968,1968,9,-0.0025342118601114905
93,2019-03-20,1973,1973,1968,1973,2108,0.0025406504065039748
94,2019-03-21,1973,1973,1973,1973,52,0.0
95,2019-03-22,1973,1973,1963,1973,416,0.0
96,2019-03-25,1973,1973,1968,1973,2004,0.0
97,2019-03-26,1973,1973,1968,1973,5569,0.0
98,2019-03-27,1973,1973,1963,1968,613,-0.0025342118601114905
99,2019-03-28,1973,1973,1963,1973,4,0.0025406504065039748
100,2019-03-29,1973,1973,1968,1973,2824,0.0
101,2019-04-01,1973,1973,1968,1973,12654,0.0
102,2019-04-02,1973,1973,1968,1973,1959,0.0
103,2019-04-03,1973,1973,1968,1973,11921,0.0
104,2019-04-04,1978,1978,1968,1968,9276,-0.0025342118601114905
105,2019-04-05,1978,2017,1973,2017,17108,0.02489837398373984
106,2019-04-08,2002,2002,1982,1988,104,-0.014377788795240432
107,2019-04-09,2007,2007,1968,1988,3390,0.0
108,2019-04-10,1982,1982,1973,1983,19305,-0.0025150905432596016
109,2019-04-11,1982,1982,1973,1978,3760,-0.002521432173474558
110,2019-04-12,1982,1987,1973,1988,107906,0.005055611729019249
111,2019-04-15,1987,1987,1968,1988,40627,0.0
