,Date,Open,High,Low,Close,Volume,Change
0,1998-03-20,14353,15046,14353,14847,16810,
1,1998-03-21,14650,14947,14403,14452,10670,-0.0266047012864552
2,1998-03-23,14848,14848,14155,14353,10610,-0.00685026293938551
3,1998-03-24,14155,15343,14155,14847,26880,0.03441789172995202
4,1998-03-25,15145,15145,14452,14847,10460,0.0
5,1998-03-26,14947,15541,14551,15491,25130,0.04337576614804339
6,1998-03-27,15838,15838,15145,15243,23360,-0.016009295720095573
7,1998-03-28,15145,15244,14650,14650,8020,-0.03890310306370137
8,1998-03-30,14500,14650,13600,13600,10330,-0.07167235494880542
9,1998-03-31,14000,14200,13850,13850,9230,0.018382352941176405
10,1998-04-01,13650,13800,13300,13400,11730,-0.032490974729241895
11,1998-04-02,13400,13400,13000,13000,13070,-0.02985074626865669
12,1998-04-03,12500,12600,11450,11450,12520,-0.11923076923076925
13,1998-04-04,11450,12300,10500,12100,10150,0.05676855895196509
14,1998-04-06,12000,12300,11650,11800,10450,-0.024793388429752095
15,1998-04-07,11600,12700,11600,12500,6090,0.05932203389830515
16,1998-04-08,12500,13600,12500,13400,15800,0.07200000000000006
17,1998-04-09,13400,14100,13400,14000,13400,0.04477611940298498
18,1998-04-10,14000,14500,12400,14300,22930,0.021428571428571352
19,1998-04-11,14300,14500,14100,14300,4280,0.0
20,1998-04-13,14300,14600,14300,14400,12000,0.006993006993007089
21,1998-04-14,14200,14200,13500,13700,4550,-0.04861111111111116
22,1998-04-15,13700,13700,13000,13700,4830,0.0
23,1998-04-16,13200,13300,12700,12700,6040,-0.07299270072992703
24,1998-04-17,12500,13000,12500,12700,5510,0.0
25,1998-04-18,12700,12800,12200,12200,3600,-0.03937007874015752
26,1998-04-20,13500,13500,11700,12000,10260,-0.016393442622950838
27,1998-04-21,11800,12500,11700,12400,6650,0.03333333333333344
28,1998-04-22,12800,12800,12200,12400,3100,0.0
29,1998-04-23,12050,12300,11500,11600,6180,-0.06451612903225812
30,1998-04-24,12000,12300,11500,11950,4580,0.030172413793103425
31,1998-04-25,12000,12000,11900,11900,40,-0.004184100418409997
32,1998-04-27,11200,11600,11200,11600,5320,-0.025210084033613467
33,1998-04-28,11400,11400,10800,11000,4650,-0.051724137931034475
34,1998-04-29,11400,11700,10850,11700,3680,0.06363636363636371
35,1998-04-30,12500,12500,11300,12000,990,0.02564102564102555
36,1998-05-02,12000,12000,11500,11500,2860,-0.04166666666666663
37,1998-05-04,11000,11600,11000,11250,3790,-0.021739130434782594
38,1998-05-06,11300,11300,10800,10800,6730,-0.040000000000000036
39,1998-05-07,10500,11700,10500,11300,2010,0.04629629629629628
40,1998-05-08,10800,11700,10800,10800,490,-0.04424778761061943
41,1998-05-09,11300,11300,10800,10800,2090,0.0
42,1998-05-11,10800,10800,10100,10100,3690,-0.06481481481481477
43,1998-05-12,10100,10300,9200,10000,3680,-0.00990099009900991
44,1998-05-13,10000,10000,9400,9700,5530,-0.030000000000000027
45,1998-05-14,9000,10000,9000,10000,5490,0.030927835051546282
46,1998-05-15,9500,10000,9200,9500,3820,-0.050000000000000044
47,1998-05-16,9000,9200,9000,9000,3920,-0.052631578947368474
48,1998-05-18,9000,9950,9000,9880,7230,0.09777777777777774
49,1998-05-19,9880,10400,9600,10250,2300,0.037449392712550544
50,1998-05-20,10250,10800,10000,10600,6630,0.034146341463414664
51,1998-05-21,10500,10800,9800,9800,5080,-0.07547169811320753
52,1998-05-22,9300,10000,9300,9500,1700,-0.030612244897959218
53,1998-05-23,9800,10000,9800,10000,1230,0.05263157894736836
54,1998-05-25,10000,10000,9400,9900,1480,-0.010000000000000009
55,1998-05-26,9400,9500,8900,8900,2900,-0.101010101010101
56,1998-05-27,8800,9900,8800,9000,1510,0.011235955056179803
57,1998-05-28,8500,9700,8500,9000,2460,0.0
58,1998-05-29,8800,9200,8800,9000,2990,0.0
59,1998-05-30,9000,9300,8700,9200,2850,0.022222222222222143
60,1998-06-01,8510,9500,8510,9000,4190,-0.021739130434782594
61,1998-06-02,9010,10000,9000,9300,7910,0.03333333333333344
62,1998-06-03,10100,10100,9400,9600,3240,0.032258064516129004
63,1998-06-05,10000,10100,9700,9890,6850,0.030208333333333393
64,1998-06-08,10200,10200,10000,10000,4090,0.011122345803842304
65,1998-06-09,9500,9800,9500,9500,2400,-0.050000000000000044
66,1998-06-10,9500,9800,9300,9300,3920,-0.021052631578947323
67,1998-06-11,9100,9300,8910,9160,3880,-0.01505376344086018
68,1998-06-12,9160,9400,9150,9150,6270,-0.0010917030567685337
69,1998-06-13,8810,9130,8550,8550,1460,-0.06557377049180324
70,1998-06-15,8550,8600,8150,8150,4820,-0.04678362573099415
71,1998-06-16,7700,8150,7210,7600,2440,-0.06748466257668717
72,1998-06-17,7210,8300,7210,8300,1520,0.09210526315789469
73,1998-06-18,9000,9290,8510,9200,2740,0.10843373493975905
74,1998-06-19,9200,9200,9200,9200,100,0.0
75,1998-06-20,8500,9050,8500,8650,360,-0.05978260869565222
76,1998-06-22,8500,8790,8400,8400,5190,-0.028901734104046284
77,1998-06-23,8400,8400,8000,8150,6390,-0.029761904761904767
78,1998-06-24,8010,8200,7900,8200,4280,0.006134969325153339
79,1998-06-25,8200,8700,8200,8300,4870,0.012195121951219523
80,1998-06-26,8310,8400,8190,8190,2640,-0.013253012048192736
81,1998-06-27,8200,8300,8000,8010,2020,-0.02197802197802201
82,1998-06-29,7510,8100,7200,7990,1750,-0.0024968789013732895
83,1998-06-30,7510,7990,7510,7990,2580,0.0
84,1998-07-01,7990,8400,7800,8300,4350,0.038798498122653235
85,1998-07-02,8000,8290,7900,8280,4210,-0.002409638554216831
86,1998-07-03,8000,8250,7530,7530,4190,-0.0905797101449275
87,1998-07-04,8000,8000,7700,7710,1110,0.0239043824701195
88,1998-07-06,7710,8100,7710,7800,4630,0.011673151750972721
