,Date,Open,High,Low,Close,Volume,Change
0,1998-03-21,15071,15071,14419,14698,14820,
1,1998-03-23,14885,14978,14326,14419,25190,-0.018982174445502764
2,1998-03-24,14419,14419,13675,13954,17680,-0.03224911575005196
3,1998-03-25,14140,14605,13954,14512,23570,0.039988533753762434
4,1998-03-26,14605,15815,14512,14977,48440,0.032042447629548
5,1998-03-27,14605,15164,14373,14372,11870,-0.040395272751552413
6,1998-03-28,14419,14559,14233,14419,8950,0.003270247703868634
7,1998-03-30,13954,14094,12791,12837,7630,-0.10971634648727369
8,1998-03-31,13303,13954,13024,13396,12480,0.04354599984420027
9,1998-04-01,13024,13396,12466,12558,7660,-0.06255598686174979
10,1998-04-02,12559,12838,11908,12093,16030,-0.03702818920210227
11,1998-04-03,11629,12094,10884,11163,13830,-0.07690399404614234
12,1998-04-04,10698,12001,10698,11675,10720,0.04586580668279128
13,1998-04-06,12001,12001,11349,11814,6080,0.011905781584582442
14,1998-04-07,11256,12652,11256,12651,18080,0.07084814626714064
15,1998-04-08,12187,12652,11629,11628,7270,-0.08086317287170974
16,1998-04-09,11815,12466,11815,12465,8860,0.07198142414860675
17,1998-04-10,12094,13117,12094,12744,12240,0.0223826714801445
18,1998-04-11,12559,12931,12187,12186,5700,-0.043785310734463234
19,1998-04-13,13024,13582,12559,13396,26090,0.09929427211554254
20,1998-04-14,13582,13582,12559,12837,12640,-0.04172887429083305
21,1998-04-15,12559,12931,12559,12930,6160,0.007244683337228386
22,1998-04-16,12559,12838,12187,12372,11110,-0.0431554524361949
23,1998-04-17,12373,13768,12373,12558,19260,0.015033947623666277
24,1998-04-18,12559,12931,12280,12279,5020,-0.022216913521261317
25,1998-04-20,12280,12280,11815,12093,12620,-0.015147813339848493
26,1998-04-21,11349,12187,11349,12186,5870,0.007690399404614245
27,1998-04-22,11722,12280,11722,12093,9160,-0.007631708517971458
28,1998-04-23,11815,11815,11163,11628,20260,-0.03845199702307123
29,1998-04-24,11163,11954,11163,11628,8080,0.0
30,1998-04-25,11442,11536,11349,11535,6520,-0.007997936016511886
31,1998-04-27,11396,11536,11256,11256,9140,-0.024187256176853023
32,1998-04-28,11070,11163,10512,10884,11420,-0.03304904051172708
