,Date,Open,High,Low,Close,Volume,Change
0,2022-04-01,32800,42600,32800,35250,5809095,
1,2022-04-04,33950,34100,29800,29950,950611,-0.150354609929078
2,2022-04-05,29400,33750,28100,30100,1442576,0.005008347245408995
3,2022-04-06,29500,32850,29500,31400,1518255,0.04318936877076407
4,2022-04-07,31250,33800,30850,30850,709229,-0.017515923566879033
5,2022-04-08,31050,32400,29650,29650,278871,-0.03889789303079416
6,2022-04-11,29800,30500,28700,28700,142789,-0.03204047217537942
7,2022-04-12,28200,29000,27400,27500,132585,-0.04181184668989546
8,2022-04-13,27350,28050,26500,26700,128699,-0.029090909090909056
9,2022-04-14,26900,26900,25800,25950,117194,-0.028089887640449396
10,2022-04-15,25800,26500,25600,25950,88854,0.0
11,2022-04-18,26000,26850,25750,25800,106910,-0.005780346820809301
12,2022-04-19,25850,25950,24700,24950,132827,-0.032945736434108475
13,2022-04-20,25250,25700,24700,24700,145107,-0.01002004008016033
14,2022-04-21,25000,27900,24900,25800,597377,0.044534412955465674
15,2022-04-22,25350,25400,24850,25150,77568,-0.025193798449612448
16,2022-04-25,24600,24700,23500,23500,93352,-0.0656063618290258
17,2022-04-26,23500,23850,23250,23250,40982,-0.010638297872340385
18,2022-04-27,22550,22600,21950,21950,56279,-0.05591397849462365
19,2022-04-28,22050,22500,21600,21900,44710,-0.002277904328018221
20,2022-04-29,22250,22650,21900,22300,37041,0.0182648401826484
21,2022-05-02,21700,21850,21300,21450,793639,-0.03811659192825112
22,2022-05-03,21550,22400,21200,21400,274763,-0.002331002331002363
23,2022-05-04,21500,21700,20350,20500,103090,-0.04205607476635509
24,2022-05-06,20050,20300,19500,19500,67741,-0.04878048780487809
25,2022-05-09,19350,19400,18650,19000,52296,-0.02564102564102566
26,2022-05-10,18400,19000,18000,18850,70320,-0.007894736842105288
27,2022-05-11,19050,19050,18350,18650,48097,-0.010610079575596787
28,2022-05-12,18450,18750,17150,17500,81769,-0.06166219839142095
29,2022-05-13,17500,18950,17300,17350,255596,-0.008571428571428563
30,2022-05-16,17700,17850,17200,17250,68811,-0.0057636887608069065
