,Date,Open,High,Low,Close,Volume,Change
0,2020-12-24,2100,2415,2100,2415,31560,
1,2020-12-28,2775,2775,2775,2775,1,0.14906832298136652
2,2020-12-29,3190,3190,3190,3190,38001,0.14954954954954958
3,2020-12-30,3665,3665,3665,3665,1,0.14890282131661436
4,2021-01-04,4210,4210,4210,4210,2,0.14870395634379263
5,2021-01-05,4840,4840,4840,4840,20526,0.14964370546318295
6,2021-01-06,5560,5560,5560,5560,401,0.14876033057851235
7,2021-01-07,6390,6390,6390,6390,5,0.1492805755395683
8,2021-01-08,7340,7340,7340,7340,13451,0.14866979655712043
9,2021-01-11,8440,8440,8440,8440,11021,0.14986376021798375
10,2021-01-12,9700,9700,9700,9700,83140,0.14928909952606628
11,2021-01-13,11100,11100,8250,8250,179138,-0.14948453608247425
12,2021-01-14,7030,7800,7020,7020,29931,-0.14909090909090905
13,2021-01-15,5970,6900,5970,6500,95712,-0.07407407407407407
14,2021-01-18,6500,6880,6050,6700,12304,0.03076923076923066
15,2021-01-19,7100,7190,6150,6780,31309,0.011940298507462588
16,2021-01-20,6370,6590,6110,6220,10449,-0.08259587020648973
17,2021-01-21,6220,6990,6000,6170,24343,-0.008038585209003246
18,2021-01-22,6180,6390,5910,6030,4134,-0.02269043760129663
19,2021-01-25,6030,6230,5300,5390,20071,-0.10613598673300162
20,2021-01-26,5390,5390,4705,4830,21649,-0.10389610389610393
21,2021-01-27,4950,5100,4930,4950,15438,0.024844720496894457
22,2021-01-28,5680,5680,4890,4980,10467,0.0060606060606061
23,2021-01-29,4980,4980,4625,4895,7693,-0.017068273092369468
24,2021-02-01,4560,5000,4520,4900,7176,0.0010214504596526286
25,2021-02-02,4715,4900,4500,4750,8147,-0.030612244897959218
26,2021-02-03,4980,4980,4520,4770,540,0.004210526315789442
27,2021-02-04,4870,4870,4600,4660,6138,-0.023060796645702264
28,2021-02-05,4995,4995,4660,4795,976,0.02896995708154515
29,2021-02-08,4740,4980,4740,4890,526,0.019812304483837417
30,2021-02-09,5400,5400,4420,4750,11556,-0.02862985685071573
31,2021-02-10,4945,4945,4570,4795,1324,0.0094736842105263
32,2021-02-15,4990,4990,4610,4805,1563,0.002085505735140769
33,2021-02-16,4800,4990,4670,4885,2561,0.01664932362122795
34,2021-02-17,4650,4950,4650,4700,4903,-0.03787103377686796
35,2021-02-18,4950,4950,4700,4830,346,0.027659574468085202
